#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
  14600      8.83e-01    5.87e-01      3.67e-02    3.46e-02      2.28e-01    5.70e-02      1.94e-01    2.02e-01    5.7e-07
  14700      5.37e-01    5.82e-01      3.91e-02    4.59e-03      1.42e-01    1.89e-01      1.09e-01    1.24e-01    5.5e-07
  14800      1.06e+00    1.28e+00      2.03e-02    9.59e-03      1.54e-01    2.38e-01      2.23e-01    2.24e-01    5.2e-07
  14900      9.04e-01    4.76e-01      2.08e-02    1.01e-01      2.28e-01    1.76e-02      1.61e-01    1.34e-01    4.9e-07
  15000      9.61e-01    1.10e+00      1.06e-02    9.55e-03      1.90e-01    2.02e-01      1.79e-01    1.93e-01    4.7e-07
  15100      8.70e-01    7.73e-01      2.78e-02    1.30e-02      1.66e-01    1.86e-01      1.80e-01    1.78e-01    4.4e-07
  15200      6.28e-01    6.45e-01      4.84e-02    5.64e-02      1.84e-01    2.02e-01      1.33e-01    1.29e-01    4.2e-07
  15300      9.74e-01    7.64e-01      4.82e-02    5.64e-02      1.59e-01    1.85e-01      1.85e-01    1.68e-01    4.0e-07
  15400      8.52e-01    5.13e-01      2.04e-02    1.08e-01      1.62e-01    1.79e-02      1.54e-01    1.45e-01    3.8e-07
  15500      7.08e-01    4.86e-01      2.93e-02    5.01e-02      1.63e-01    1.99e-01      1.27e-01    7.98e-02    3.6e-07
  15600      7.67e-01    5.54e-01      5.04e-02    1.03e-01      1.99e-01    4.06e-02      1.74e-01    1.65e-01    3.5e-07
  15700      7.42e-01    1.07e+00      3.28e-02    9.90e-03      1.84e-01    2.30e-01      1.37e-01    1.85e-01    3.3e-07
  15800      8.40e-01    5.05e-01      1.18e-02    5.22e-03      1.46e-01    1.42e-01      1.54e-01    8.31e-02    3.1e-07
  15900      9.90e-01    6.65e-01      1.98e-02    3.35e-02      1.76e-01    9.92e-02      1.80e-01    2.26e-01    3.0e-07
  16000      9.42e-01    5.58e-01      1.42e-02    5.49e-02      1.54e-01    1.67e-01      2.01e-01    1.11e-01    2.8e-07
  16100      7.56e-01    1.16e+00      7.06e-02    7.31e-03      1.83e-01    1.86e-01      1.70e-01    2.05e-01    2.7e-07
  16200      6.71e-01    8.10e-01      1.31e-02    3.71e-03      1.55e-01    1.47e-01      1.42e-01    1.42e-01    2.5e-07
  16300      5.39e-01    8.96e-01      8.29e-02    7.97e-03      1.09e-01    1.68e-01      1.26e-01    1.57e-01    2.4e-07
  16400      1.04e+00    6.02e-01      3.31e-02    5.75e-02      2.10e-01    1.57e-01      2.57e-01    1.26e-01    2.3e-07
  16500      8.77e-01    8.92e-01      1.81e-02    6.55e-02      2.02e-01    2.45e-01      1.50e-01    1.93e-01    2.2e-07
  16600      7.76e-01    1.02e+00      3.21e-02    2.07e-02      1.78e-01    2.20e-01      1.43e-01    2.41e-01    2.1e-07
  16700      5.56e-01    1.08e+00      5.73e-02    7.69e-03      1.95e-01    1.65e-01      9.96e-02    1.91e-01    2.0e-07
  16800      9.14e-01    6.56e-01      3.61e-02    5.69e-02      2.08e-01    1.97e-01      1.74e-01    1.35e-01    1.9e-07
